Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538	158	-122	23	2538
159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561	159	-122	23	2561
160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574	160	-13	13	2574
161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593	161	-118	19	2593
162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630	162	-235	37	2630
163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643	163	-13	13	2643
164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659	164	-115	16	2659
165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672	165	-13	13	2672
166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687	166	-15	15	2687
167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702	167	-15	15	2702
168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716	168	-113	14	2716
169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729	169	-13	13	2729
170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742	170	-13	13	2742
171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755	171	-13	13	2755
172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768	172	-13	13	2768
173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783	173	-15	15	2783
174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796	174	-13	13	2796
175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813	175	-17	17	2813
176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830	176	-17	17	2830
177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847	177	-17	17	2847
178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860	178	-13	13	2860
179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894	179	-331	34	2894
180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926	180	-230	32	2926
181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945	181	-118	19	2945
182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966	182	-120	21	2966
183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979	183	-13	13	2979
184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992	184	-13	13	2992
185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008	185	-16	16	3008
186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032	186	-222	24	3032
187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049	187	-17	17	3049
188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064	188	-15	15	3064
189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079	189	-15	15	3079
190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092	190	-13	13	3092
191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107	191	-15	15	3107
192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139	192	-230	32	3139
193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154	193	-15	15	3154
194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167	194	-13	13	3167
195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183	195	-16	16	3183
196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198	196	-15	15	3198
197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211	197	-13	13	3211
198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226	198	-15	15	3226
199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239	199	-13	13	3239
