Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219	159	-19	19	10219
160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252	160	-33	33	10252
161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278	161	-26	26	10278
162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303	162	-25	25	10303
163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377	163	-371	74	10377
164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396	164	-19	19	10396
165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427	165	-31	31	10427
166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444	166	-17	17	10444
167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461	167	-17	17	10461
168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479	168	-18	18	10479
169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507	169	-28	28	10507
170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528	170	-21	21	10528
171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570	171	-42	42	10570
172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585	172	-15	15	10585
173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601	173	-16	16	10601
174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615	174	-14	14	10615
175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660	175	-144	45	10660
176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694	176	-133	34	10694
177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716	177	-22	22	10716
178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743	178	-27	27	10743
179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769	179	-26	26	10769
180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794	180	-25	25	10794
181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823	181	-29	29	10823
182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839	182	-16	16	10839
183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855	183	-16	16	10855
184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886	184	-31	31	10886
185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934	185	-147	48	10934
186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952	186	-18	18	10952
187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973	187	-21	21	10973
188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999	188	-26	26	10999
189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014	189	-15	15	11014
190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053	190	-138	39	11053
191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077	191	-24	24	11077
192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093	192	-16	16	11093
193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112	193	-19	19	11112
194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129	194	-17	17	11129
195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155	195	-125	26	11155
196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174	196	-19	19	11174
197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201	197	-27	27	11201
198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219	198	-117	18	11219
199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256	199	-136	37	11256
