Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900	181	-23	23	10900
182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934	182	-34	34	10934
183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972	183	-38	38	10972
184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992	184	-20	20	10992
185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016	185	-24	24	11016
186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040	186	-24	24	11040
187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060	187	-20	20	11060
188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074	188	-14	14	11074
189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095	189	-21	21	11095
190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115	190	-20	20	11115
191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130	191	-15	15	11130
192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160	192	-30	30	11160
193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175	193	-15	15	11175
194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199	194	-24	24	11199
195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228	195	-128	29	11228
196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250	196	-22	22	11250
197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282	197	-32	32	11282
198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297	198	-15	15	11297
199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316	199	-19	19	11316
